scenario,type,id,x,y,z
scenario_01_baseline,gateway,0,0.00,0.00,15.00
scenario_01_baseline,endnode,0,2144.99,-254.17,1.50
scenario_01_baseline,endnode,1,-1358.42,1035.72,1.50
scenario_01_baseline,endnode,2,-1540.20,1785.96,1.50
scenario_01_baseline,endnode,3,66.61,-2071.00,1.50
scenario_01_baseline,endnode,4,-1202.01,-341.86,1.50
scenario_01_baseline,endnode,5,2251.57,-1878.63,1.50
scenario_01_baseline,endnode,6,2208.85,-2336.03,1.50
scenario_01_baseline,endnode,7,-1898.85,1466.09,1.50
scenario_01_baseline,endnode,8,1.13,-2088.00,1.50
scenario_01_baseline,endnode,9,962.05,-2070.47,1.50
scenario_01_baseline,endnode,10,-2485.40,-1697.46,1.50
scenario_01_baseline,endnode,11,-318.27,771.04,1.50
scenario_01_baseline,endnode,12,197.33,-2295.67,1.50
scenario_01_baseline,endnode,13,-1262.31,-1708.65,1.50
scenario_01_baseline,endnode,14,997.55,-668.65,1.50
scenario_01_baseline,endnode,15,2196.71,737.55,1.50
scenario_01_baseline,endnode,16,2462.07,2028.66,1.50
scenario_01_baseline,endnode,17,1445.82,-2282.51,1.50
scenario_01_baseline,endnode,18,1726.73,1788.97,1.50
scenario_01_baseline,endnode,19,1126.12,-2221.71,1.50
scenario_01_baseline,endnode,20,-1723.32,1745.48,1.50
scenario_01_baseline,endnode,21,620.91,-1054.76,1.50
scenario_01_baseline,endnode,22,-1356.40,-1288.98,1.50
scenario_01_baseline,endnode,23,2246.83,-402.75,1.50
scenario_01_baseline,endnode,24,2193.18,1469.58,1.50
scenario_01_baseline,endnode,25,545.88,-1465.83,1.50
scenario_01_baseline,endnode,26,1781.46,1792.79,1.50
scenario_01_baseline,endnode,27,190.78,1625.96,1.50
scenario_01_baseline,endnode,28,2400.54,1975.93,1.50
scenario_01_baseline,endnode,29,-2347.66,2442.03,1.50
scenario_01_baseline,endnode,30,-610.83,-624.87,1.50
scenario_01_baseline,endnode,31,1697.88,-134.37,1.50
scenario_01_baseline,endnode,32,-2415.00,-653.13,1.50
scenario_01_baseline,endnode,33,-12.96,2488.52,1.50
scenario_01_baseline,endnode,34,-1428.79,1977.37,1.50
scenario_01_baseline,endnode,35,1089.98,-1804.79,1.50
scenario_01_baseline,endnode,36,-1958.73,-656.42,1.50
scenario_01_baseline,endnode,37,97.65,-274.31,1.50
scenario_01_baseline,endnode,38,-1768.64,911.32,1.50
scenario_01_baseline,endnode,39,2141.21,-1677.50,1.50
scenario_01_baseline,endnode,40,1371.52,1345.07,1.50
scenario_01_baseline,endnode,41,-1691.25,1081.50,1.50
scenario_01_baseline,endnode,42,2357.44,-2485.98,1.50
scenario_01_baseline,endnode,43,1414.40,590.86,1.50
scenario_01_baseline,endnode,44,1775.17,-2330.83,1.50
scenario_01_baseline,endnode,45,850.50,1793.97,1.50
scenario_01_baseline,endnode,46,-1344.52,1890.27,1.50
scenario_01_baseline,endnode,47,951.94,-742.15,1.50
scenario_01_baseline,endnode,48,-601.82,2340.84,1.50
