scenario,type,id,x,y,z
scenario_01_baseline,gateway,0,0.00,0.00,15.00
scenario_01_baseline,enddevice,0,126.58,-570.54,1.50
scenario_01_baseline,enddevice,1,-384.71,235.33,1.50
scenario_01_baseline,enddevice,2,870.76,-340.86,1.50
scenario_01_baseline,enddevice,3,711.20,483.34,1.50
scenario_01_baseline,enddevice,4,-345.78,-56.57,1.50
scenario_01_baseline,enddevice,5,-870.44,446.55,1.50
scenario_01_baseline,enddevice,6,-801.12,725.36,1.50
scenario_01_baseline,enddevice,7,838.32,-455.16,1.50
scenario_01_baseline,enddevice,8,84.96,-291.97,1.50
scenario_01_baseline,enddevice,9,-98.48,776.07,1.50
scenario_01_baseline,enddevice,10,172.05,-303.91,1.50
scenario_01_baseline,enddevice,11,-746.47,-944.13,1.50
scenario_01_baseline,enddevice,12,-836.93,-171.14,1.50
scenario_01_baseline,enddevice,13,87.64,887.66,1.50
scenario_01_baseline,enddevice,14,358.86,796.03,1.50
scenario_01_baseline,enddevice,15,-307.09,650.20,1.50
scenario_01_baseline,enddevice,16,-175.97,-632.09,1.50
scenario_01_baseline,enddevice,17,769.32,-937.05,1.50
scenario_01_baseline,enddevice,18,893.36,759.56,1.50
scenario_01_baseline,enddevice,19,859.81,-42.70,1.50
scenario_01_baseline,enddevice,20,-741.93,283.50,1.50
scenario_01_baseline,enddevice,21,-438.66,-867.39,1.50
scenario_01_baseline,enddevice,22,-158.92,374.24,1.50
scenario_01_baseline,enddevice,23,-754.02,-983.87,1.50
scenario_01_baseline,enddevice,24,-403.19,-712.53,1.50
scenario_01_baseline,enddevice,25,-788.43,389.85,1.50
scenario_01_baseline,enddevice,26,-929.24,-774.80,1.50
scenario_01_baseline,enddevice,27,542.90,864.77,1.50
scenario_01_baseline,enddevice,28,118.19,-351.21,1.50
scenario_01_baseline,enddevice,29,685.35,-631.63,1.50
scenario_01_baseline,enddevice,30,832.15,460.43,1.50
scenario_01_baseline,enddevice,31,622.70,63.64,1.50
scenario_01_baseline,enddevice,32,-237.14,-818.77,1.50
scenario_01_baseline,enddevice,33,-720.94,-902.02,1.50
scenario_01_baseline,enddevice,34,-247.08,-19.51,1.50
scenario_01_baseline,enddevice,35,653.09,339.64,1.50
scenario_01_baseline,enddevice,36,-330.68,851.90,1.50
scenario_01_baseline,enddevice,37,-60.58,-34.09,1.50
scenario_01_baseline,enddevice,38,-645.10,-789.50,1.50
scenario_01_baseline,enddevice,39,-890.38,-995.44,1.50
scenario_01_baseline,enddevice,40,-527.99,-779.16,1.50
scenario_01_baseline,enddevice,41,-875.19,-732.08,1.50
scenario_01_baseline,enddevice,42,726.29,-583.66,1.50
scenario_01_baseline,enddevice,43,781.54,688.81,1.50
scenario_01_baseline,enddevice,44,-229.32,-19.20,1.50
scenario_01_baseline,enddevice,45,26.89,635.92,1.50
scenario_01_baseline,enddevice,46,-862.01,-786.58,1.50
scenario_01_baseline,enddevice,47,887.79,-569.55,1.50
scenario_01_baseline,enddevice,48,-48.32,284.04,1.50
scenario_01_baseline,enddevice,49,-637.39,496.63,1.50
scenario_01_baseline,enddevice,50,-390.50,740.23,1.50
scenario_01_baseline,enddevice,51,164.60,-824.02,1.50
scenario_01_baseline,enddevice,52,-910.89,-379.98,1.50
scenario_01_baseline,enddevice,53,-390.03,368.42,1.50
scenario_01_baseline,enddevice,54,225.98,-71.20,1.50
scenario_01_baseline,enddevice,55,-995.16,-961.61,1.50
scenario_01_baseline,enddevice,56,777.62,282.34,1.50
scenario_01_baseline,enddevice,57,69.05,-359.02,1.50
scenario_01_baseline,enddevice,58,-563.94,810.85,1.50
scenario_01_baseline,enddevice,59,737.31,-322.28,1.50
scenario_01_baseline,enddevice,60,325.48,328.87,1.50
scenario_01_baseline,enddevice,61,-320.71,-310.27,1.50
scenario_01_baseline,enddevice,62,604.46,14.71,1.50
scenario_01_baseline,enddevice,63,-29.80,364.64,1.50
scenario_01_baseline,enddevice,64,-549.87,-961.73,1.50
scenario_01_baseline,enddevice,65,-212.35,680.27,1.50
scenario_01_baseline,enddevice,66,-366.94,-583.62,1.50
scenario_01_baseline,enddevice,67,377.62,243.09,1.50
scenario_01_baseline,enddevice,68,-994.82,283.92,1.50
scenario_01_baseline,enddevice,69,818.20,583.96,1.50
scenario_01_baseline,enddevice,70,-11.01,267.41,1.50
scenario_01_baseline,enddevice,71,-85.84,807.81,1.50
scenario_01_baseline,enddevice,72,591.72,849.63,1.50
scenario_01_baseline,enddevice,73,-317.15,775.72,1.50
scenario_01_baseline,enddevice,74,-233.17,-809.65,1.50
scenario_01_baseline,enddevice,75,-153.71,-365.29,1.50
scenario_01_baseline,enddevice,76,-614.54,475.45,1.50
scenario_01_baseline,enddevice,77,-312.91,207.59,1.50
