t_s,gw_id,dr,sf,frequency_hz,rssi_dbm,snr_db,req_db,margin_db
10.066823,0,5,7,868500000.000000,-120.394125,-3.363226,-7.500000,4.136774
70.066823,0,5,7,868100000.000000,-120.394125,-3.363226,-7.500000,4.136774
130.066823,0,5,7,868500000.000000,-120.394125,-3.363226,-7.500000,4.136774
190.066823,0,5,7,868100000.000000,-120.394125,-3.363226,-7.500000,4.136774
250.066823,0,5,7,868300000.000000,-120.394125,-3.363226,-7.500000,4.136774
310.066823,0,5,7,868100000.000000,-120.394125,-3.363226,-7.500000,4.136774
370.066823,0,5,7,868100000.000000,-120.394125,-3.363226,-7.500000,4.136774
430.066823,0,5,7,868100000.000000,-120.394125,-3.363226,-7.500000,4.136774
490.066823,0,5,7,868500000.000000,-120.394125,-3.363226,-7.500000,4.136774
550.066823,0,5,7,868500000.000000,-120.394125,-3.363226,-7.500000,4.136774
