t_s,total_J
0,0
1,4.95e-06
2,9.9e-06
3,1.485e-05
4,1.98e-05
5,2.475e-05
6,2.97e-05
7,3.465e-05
8,3.96e-05
9,4.455e-05
10,4.95e-05
11,0.0168596
12,0.0168672
13,0.0169574
14,0.0169623
15,0.0169673
16,0.0169722
17,0.0169772
18,0.0169821
19,0.0169871
20,0.016992
21,0.016997
22,0.0170019
23,0.0170069
24,0.0170118
25,0.0170168
26,0.0170217
27,0.0170267
28,0.0170316
29,0.0170366
30,0.0170415
31,0.0170465
32,0.0170514
33,0.0170564
34,0.0170613
35,0.0170663
36,0.0170712
37,0.0170762
38,0.0170811
39,0.0170861
40,0.017091
41,0.017096
42,0.0171009
43,0.0171059
44,0.0171108
45,0.0171158
46,0.0171207
47,0.0171257
48,0.0171306
49,0.0171356
50,0.0171405
51,0.0171455
52,0.0171504
53,0.0171554
54,0.0171603
55,0.0171653
56,0.0171702
57,0.0171752
58,0.0171801
59,0.0171851
60,0.01719
61,0.017195
62,0.0171999
63,0.0172049
64,0.0172098
65,0.0172148
66,0.0172197
67,0.0172247
68,0.0172296
69,0.0172346
70,0.0172395
71,0.0340496
72,0.0340572
73,0.0341474
74,0.0341523
75,0.0341573
76,0.0341622
77,0.0341672
78,0.0341721
79,0.0341771
80,0.034182
81,0.034187
82,0.0341919
83,0.0341969
84,0.0342018
85,0.0342068
86,0.0342117
87,0.0342167
88,0.0342216
89,0.0342266
90,0.0342315
91,0.0342365
92,0.0342414
93,0.0342464
94,0.0342513
95,0.0342563
96,0.0342612
97,0.0342662
98,0.0342711
99,0.0342761
100,0.034281
101,0.034286
102,0.0342909
103,0.0342959
104,0.0343008
105,0.0343058
106,0.0343107
107,0.0343157
108,0.0343206
109,0.0343256
110,0.0343305
111,0.0343355
112,0.0343404
113,0.0343454
114,0.0343503
115,0.0343553
116,0.0343602
117,0.0343652
118,0.0343701
119,0.0343751
120,0.03438
121,0.034385
122,0.0343899
123,0.0343949
124,0.0343998
125,0.0344048
126,0.0344097
127,0.0344147
128,0.0344196
129,0.0344246
130,0.0344295
131,0.0512396
132,0.0512472
133,0.0513374
134,0.0513423
135,0.0513473
136,0.0513522
137,0.0513572
138,0.0513621
139,0.0513671
140,0.051372
141,0.051377
142,0.0513819
143,0.0513869
144,0.0513918
145,0.0513968
146,0.0514017
147,0.0514067
148,0.0514116
149,0.0514166
150,0.0514215
151,0.0514265
152,0.0514314
153,0.0514364
154,0.0514413
155,0.0514463
156,0.0514512
157,0.0514562
158,0.0514611
159,0.0514661
160,0.051471
161,0.051476
162,0.0514809
163,0.0514859
164,0.0514908
165,0.0514958
166,0.0515007
167,0.0515057
168,0.0515106
169,0.0515156
170,0.0515205
171,0.0515255
172,0.0515304
173,0.0515354
174,0.0515403
175,0.0515453
176,0.0515502
177,0.0515552
178,0.0515601
179,0.0515651
180,0.05157
181,0.051575
182,0.0515799
183,0.0515849
184,0.0515898
185,0.0515948
186,0.0515997
187,0.0516047
188,0.0516096
189,0.0516146
190,0.0516195
191,0.0684296
192,0.0684372
193,0.0685274
194,0.0685324
195,0.0685373
196,0.0685423
197,0.0685472
198,0.0685522
199,0.0685571
200,0.0685621
201,0.068567
202,0.068572
203,0.0685769
204,0.0685819
205,0.0685868
206,0.0685918
207,0.0685967
208,0.0686017
209,0.0686066
210,0.0686116
211,0.0686165
212,0.0686215
213,0.0686264
214,0.0686314
215,0.0686363
216,0.0686413
217,0.0686462
218,0.0686512
219,0.0686561
220,0.0686611
221,0.068666
222,0.068671
223,0.0686759
224,0.0686809
225,0.0686858
226,0.0686908
227,0.0686957
228,0.0687007
229,0.0687056
230,0.0687106
231,0.0687155
232,0.0687205
233,0.0687254
234,0.0687304
235,0.0687353
236,0.0687403
237,0.0687452
238,0.0687502
239,0.0687551
240,0.0687601
241,0.068765
242,0.06877
243,0.0687749
244,0.0687799
