t_s,remain_J
0,10000
1,10000
2,10000
3,10000
4,10000
5,10000
6,10000
7,10000
8,10000
9,10000
10,10000
11,9999.98
12,9999.98
13,9999.98
14,9999.98
15,9999.98
16,9999.98
17,9999.98
18,9999.98
19,9999.98
20,9999.98
21,9999.98
22,9999.98
23,9999.98
24,9999.98
25,9999.98
26,9999.98
27,9999.98
28,9999.98
29,9999.98
30,9999.98
31,9999.98
32,9999.98
33,9999.98
34,9999.98
35,9999.98
36,9999.98
37,9999.98
38,9999.98
39,9999.98
40,9999.98
41,9999.98
42,9999.98
43,9999.98
44,9999.98
45,9999.98
46,9999.98
47,9999.98
48,9999.98
49,9999.98
50,9999.98
51,9999.98
52,9999.98
53,9999.98
54,9999.98
55,9999.98
56,9999.98
57,9999.98
58,9999.98
59,9999.98
60,9999.98
61,9999.98
62,9999.98
63,9999.98
64,9999.98
65,9999.98
66,9999.98
67,9999.98
68,9999.98
69,9999.98
70,9999.98
71,9999.97
72,9999.97
73,9999.97
74,9999.97
75,9999.97
76,9999.97
77,9999.97
78,9999.97
79,9999.97
80,9999.97
81,9999.97
82,9999.97
83,9999.97
84,9999.97
85,9999.97
86,9999.97
87,9999.97
88,9999.97
89,9999.97
90,9999.97
91,9999.97
92,9999.97
93,9999.97
94,9999.97
95,9999.97
96,9999.97
97,9999.97
98,9999.97
99,9999.97
100,9999.97
101,9999.97
102,9999.97
103,9999.97
104,9999.97
105,9999.97
106,9999.97
107,9999.97
108,9999.97
109,9999.97
110,9999.97
111,9999.97
112,9999.97
113,9999.97
114,9999.97
115,9999.97
116,9999.97
117,9999.97
118,9999.97
119,9999.97
120,9999.97
121,9999.97
122,9999.97
123,9999.97
124,9999.97
125,9999.97
126,9999.97
127,9999.97
128,9999.97
129,9999.97
130,9999.97
131,9999.95
132,9999.95
133,9999.95
134,9999.95
135,9999.95
136,9999.95
137,9999.95
138,9999.95
139,9999.95
140,9999.95
141,9999.95
142,9999.95
143,9999.95
144,9999.95
145,9999.95
146,9999.95
147,9999.95
148,9999.95
149,9999.95
150,9999.95
151,9999.95
152,9999.95
153,9999.95
154,9999.95
155,9999.95
156,9999.95
157,9999.95
158,9999.95
159,9999.95
160,9999.95
161,9999.95
162,9999.95
163,9999.95
164,9999.95
165,9999.95
166,9999.95
167,9999.95
168,9999.95
169,9999.95
170,9999.95
171,9999.95
172,9999.95
173,9999.95
174,9999.95
175,9999.95
176,9999.95
177,9999.95
178,9999.95
179,9999.95
180,9999.95
181,9999.95
182,9999.95
183,9999.95
184,9999.95
185,9999.95
186,9999.95
187,9999.95
188,9999.95
189,9999.95
190,9999.95
191,9999.93
192,9999.93
193,9999.93
194,9999.93
195,9999.93
196,9999.93
197,9999.93
198,9999.93
199,9999.93
200,9999.93
201,9999.93
202,9999.93
203,9999.93
204,9999.93
205,9999.93
206,9999.93
207,9999.93
208,9999.93
209,9999.93
210,9999.93
211,9999.93
212,9999.93
213,9999.93
214,9999.93
215,9999.93
216,9999.93
217,9999.93
218,9999.93
219,9999.93
220,9999.93
221,9999.93
222,9999.93
223,9999.93
224,9999.93
225,9999.93
226,9999.93
227,9999.93
228,9999.93
229,9999.93
230,9999.93
231,9999.93
232,9999.93
233,9999.93
234,9999.93
235,9999.93
236,9999.93
237,9999.93
238,9999.93
239,9999.93
240,9999.93
241,9999.93
242,9999.93
243,9999.93
244,9999.93
245,9999.93
246,9999.93
247,9999.93
248,9999.93
249,9999.93
250,9999.93
251,9999.91
252,9999.91
253,9999.91
254,9999.91
255,9999.91
256,9999.91
257,9999.91
258,9999.91
259,9999.91
260,9999.91
261,9999.91
262,9999.91
263,9999.91
264,9999.91
265,9999.91
266,9999.91
267,9999.91
268,9999.91
269,9999.91
270,9999.91
271,9999.91
272,9999.91
273,9999.91
274,9999.91
275,9999.91
276,9999.91
277,9999.91
278,9999.91
279,9999.91
280,9999.91
281,9999.91
282,9999.91
283,9999.91
284,9999.91
285,9999.91
286,9999.91
287,9999.91
288,9999.91
289,9999.91
290,9999.91
291,9999.91
292,9999.91
293,9999.91
294,9999.91
295,9999.91
296,9999.91
297,9999.91
298,9999.91
299,9999.91
300,9999.91
301,9999.91
302,9999.91
303,9999.91
304,9999.91
305,9999.91
306,9999.91
307,9999.91
308,9999.91
309,9999.91
310,9999.91
311,9999.9
312,9999.9
313,9999.9
314,9999.9
315,9999.9
316,9999.9
317,9999.9
318,9999.9
319,9999.9
320,9999.9
321,9999.9
322,9999.9
323,9999.9
324,9999.9
325,9999.9
326,9999.9
327,9999.9
328,9999.9
329,9999.9
330,9999.9
331,9999.9
332,9999.9
333,9999.9
334,9999.9
335,9999.9
336,9999.9
337,9999.9
338,9999.9
339,9999.9
340,9999.9
341,9999.9
342,9999.9
343,9999.9
344,9999.9
345,9999.9
346,9999.9
347,9999.9
348,9999.9
349,9999.9
350,9999.9
351,9999.9
352,9999.9
353,9999.9
354,9999.9
355,9999.9
356,9999.9
357,9999.9
358,9999.9
359,9999.9
360,9999.9
361,9999.9
362,9999.9
363,9999.9
364,9999.9
365,9999.9
366,9999.9
367,9999.9
368,9999.9
369,9999.9
370,9999.9
371,9999.88
372,9999.88
373,9999.88
374,9999.88
375,9999.88
376,9999.88
377,9999.88
378,9999.88
379,9999.88
380,9999.88
381,9999.88
382,9999.88
383,9999.88
384,9999.88
385,9999.88
386,9999.88
387,9999.88
388,9999.88
389,9999.88
390,9999.88
391,9999.88
392,9999.88
393,9999.88
394,9999.88
395,9999.88
396,9999.88
397,9999.88
398,9999.88
399,9999.88
400,9999.88
401,9999.88
402,9999.88
403,9999.88
404,9999.88
405,9999.88
406,9999.88
407,9999.88
408,9999.88
409,9999.88
410,9999.88
411,9999.88
412,9999.88
413,9999.88
414,9999.88
415,9999.88
416,9999.88
417,9999.88
418,9999.88
419,9999.88
420,9999.88
421,9999.88
422,9999.88
423,9999.88
424,9999.88
425,9999.88
426,9999.88
427,9999.88
428,9999.88
429,9999.88
430,9999.88
431,9999.86
432,9999.86
433,9999.86
434,9999.86
435,9999.86
436,9999.86
437,9999.86
438,9999.86
439,9999.86
440,9999.86
441,9999.86
442,9999.86
443,9999.86
444,9999.86
445,9999.86
446,9999.86
447,9999.86
448,9999.86
449,9999.86
450,9999.86
451,9999.86
452,9999.86
453,9999.86
454,9999.86
455,9999.86
456,9999.86
457,9999.86
458,9999.86
459,9999.86
460,9999.86
461,9999.86
462,9999.86
463,9999.86
464,9999.86
465,9999.86
466,9999.86
467,9999.86
468,9999.86
469,9999.86
470,9999.86
471,9999.86
472,9999.86
473,9999.86
474,9999.86
475,9999.86
476,9999.86
477,9999.86
