t_s,total_J
11,5.445e-05
11.0719,0.0181477
12.0719,0.0181526
12.0801,0.0181553
13.0719,0.0181603
13.3341,0.0182468
191,0.0191262
191.072,0.0372195
192.072,0.0372244
192.08,0.0372271
193.072,0.037232
193.334,0.0373185
371,0.038198
371.072,0.0562912
372.072,0.0562962
372.08,0.0562989
373.072,0.0563038
373.334,0.0563903
551,0.0572697
551.072,0.075363
552.072,0.0753679
552.08,0.0753706
553.072,0.0753755
553.334,0.0754621
731,0.0763415
731.072,0.0944347
732.072,0.0944397
732.08,0.0944424
733.072,0.0944473
733.334,0.0945338
