t_s,remain_J
10,10000
11,10000
11.0719,9999.98
12.0719,9999.98
12.0801,9999.98
13.0719,9999.98
13.3341,9999.98
20,9999.98
30,9999.98
40,9999.98
50,9999.98
60,9999.98
70,9999.98
80,9999.98
90,9999.98
100,9999.98
110,9999.98
120,9999.98
130,9999.98
140,9999.98
150,9999.98
160,9999.98
170,9999.98
180,9999.98
190,9999.98
191,9999.98
191.072,9999.96
192.072,9999.96
192.08,9999.96
193.072,9999.96
193.334,9999.96
200,9999.96
210,9999.96
220,9999.96
230,9999.96
240,9999.96
250,9999.96
260,9999.96
270,9999.96
280,9999.96
290,9999.96
300,9999.96
310,9999.96
320,9999.96
330,9999.96
340,9999.96
350,9999.96
360,9999.96
370,9999.96
371,9999.96
371.072,9999.94
372.072,9999.94
372.08,9999.94
373.072,9999.94
373.334,9999.94
380,9999.94
390,9999.94
400,9999.94
410,9999.94
420,9999.94
430,9999.94
440,9999.94
450,9999.94
460,9999.94
470,9999.94
480,9999.94
490,9999.94
500,9999.94
510,9999.94
520,9999.94
530,9999.94
540,9999.94
550,9999.94
551,9999.94
551.072,9999.92
552.072,9999.92
552.08,9999.92
553.072,9999.92
553.334,9999.92
560,9999.92
570,9999.92
580,9999.92
590,9999.92
600,9999.92
610,9999.92
620,9999.92
630,9999.92
640,9999.92
650,9999.92
660,9999.92
670,9999.92
680,9999.92
690,9999.92
700,9999.92
710,9999.92
720,9999.92
730,9999.92
731,9999.92
731.072,9999.91
732.072,9999.91
732.08,9999.91
733.072,9999.91
733.334,9999.91
740,9999.91
750,9999.91
760,9999.91
770,9999.91
780,9999.91
790,9999.91
800,9999.91
810,9999.91
820,9999.91
830,9999.9
840,9999.9
850,9999.9
860,9999.9
870,9999.9
880,9999.9
890,9999.9
